X,unique_subjects_received,Status,Director,GradStudent,Operations,Outreach,PM,Research,,Director,GradStudent,Operations,Outreach,PM,Research
1,0,GradStudent,,0,,,,,0.1,3,28,4,1,1,11
2,0.005213489,GradStudent,,0.005213489,,,,,0.2,0,1,1,1,1,1
3,0.005477463,GradStudent,,0.005477463,,,,,0.3,1,1,2,0,1,3
4,0.005939418,Director,0.005939418,,,,,,0.4,2,0,0,0,1,2
5,0.006005411,GradStudent,,0.006005411,,,,,0.5,0,0,0,0,0,0
6,0.009635056,Operations,,,0.009635056,,,,0.6,0,0,0,0,1,0
7,0.009701049,Research,,,,,,0.009701049,0.7,0,0,0,0,0,0
8,0.010163004,GradStudent,,0.010163004,,,,,0.8,0,0,0,0,0,0
9,0.010426978,GradStudent,,0.010426978,,,,,0.9,1,0,0,0,0,0
10,0.010690952,GradStudent,,0.010690952,,,,,1,1,0,0,0,0,0
11,0.011152907,GradStudent,,0.011152907,,,,,,8,30,7,2,5,17
12,0.011218901,GradStudent,,0.011218901,,,,,,,,,,,
13,0.011284894,GradStudent,,0.011284894,,,,,,8,30,7,2,5,17
14,0.011680855,GradStudent,,0.011680855,,,,,,,,,,,
15,0.013726655,Research,,,,,,0.013726655,,,,,,,
16,0.01438659,GradStudent,,0.01438659,,,,,,,,,,,
17,0.014452584,GradStudent,,0.014452584,,,,,,,,,,,
18,0.014452584,GradStudent,,0.014452584,,,,,,,,,,,
19,0.01550848,GradStudent,,0.01550848,,,,,,,,,,,
20,0.01643239,GradStudent,,0.01643239,,,,,,,,,,,
21,0.016564377,GradStudent,,0.016564377,,,,,,,,,,,
22,0.01775226,GradStudent,,0.01775226,,,,,,,,,,,
23,0.021183924,Outreach,,,,0.021183924,,,,,,,,,
24,0.024087639,Research,,,,,,0.024087639,,,,,,,
25,0.026067445,GradStudent,,0.026067445,,,,,,,,,,,
26,0.027189335,Operations,,,0.027189335,,,,,,,,,,
27,0.027849271,GradStudent,,0.027849271,,,,,,,,,,,
28,0.028245232,Research,,,,,,0.028245232,,,,,,,
29,0.029235135,GradStudent,,0.029235135,,,,,,,,,,,
30,0.029235135,Research,,,,,,0.029235135,,,,,,,
31,0.031478915,GradStudent,,0.031478915,,,,,,,,,,,
32,0.032468818,Research,,,,,,0.032468818,,,,,,,
33,0.042301854,Director,0.042301854,,,,,,,,,,,,
34,0.044809609,GradStudent,,0.044809609,,,,,,,,,,,
35,0.048109285,Operations,,,0.048109285,,,,,,,,,,
36,0.059988121,GradStudent,,0.059988121,,,,,,,,,,,
37,0.065399591,GradStudent,,0.065399591,,,,,,,,,,,
38,0.066587474,GradStudent,,0.066587474,,,,,,,,,,,
39,0.071470996,Research,,,,,,0.071470996,,,,,,,
40,0.073582789,Research,,,,,,0.073582789,,,,,,,
41,0.076090543,Research,,,,,,0.076090543,,,,,,,
42,0.078400317,Research,,,,,,0.078400317,,,,,,,
43,0.081304032,PM,,,,,0.081304032,,,,,,,,
44,0.086847489,Research,,,,,,0.086847489,,,,,,,
45,0.090939088,Operations,,,0.090939088,,,,,,,,,,
46,0.0928529,GradStudent,,0.0928529,,,,,,,,,,,
47,0.095294661,GradStudent,,0.095294661,,,,,,,,,,,
48,0.095492642,Director,0.095492642,,,,,,,,,,,,
49,0.120636178,Outreach,,,,0.120636178,,,,,,,,,
50,0.126641589,Operations,,,0.126641589,,,,,,,,,,
51,0.144987791,Research,,,,,,0.144987791,,,,,,,
52,0.173101036,GradStudent,,0.173101036,,,,,,,,,,,
53,0.187817594,PM,,,,,0.187817594,,,,,,,,
54,0.201346268,GradStudent,,0.201346268,,,,,,,,,,,
55,0.206559757,Research,,,,,,0.206559757,,,,,,,
56,0.208935524,Research,,,,,,0.208935524,,,,,,,
57,0.26060846,Operations,,,0.26060846,,,,,,,,,,
58,0.275984953,Research,,,,,,0.275984953,,,,,,,
59,0.283244242,PM,,,,,0.283244242,,,,,,,,
60,0.289315647,Operations,,,0.289315647,,,,,,,,,,
61,0.295849007,Director,0.295849007,,,,,,,,,,,,
62,0.340130667,PM,,,,,0.340130667,,,,,,,,
63,0.354781231,Director,0.354781231,,,,,,,,,,,,
64,0.361248598,Research,,,,,,0.361248598,,,,,,,
65,0.377483007,Research,,,,,,0.377483007,,,,,,,
66,0.38837194,Director,0.38837194,,,,,,,,,,,,
67,0.531115951,PM,,,,,0.531115951,,,,,,,,
68,0.807892827,Director,0.807892827,,,,,,,,,,,,
69,1,Director,1,,,,,,,,,,,,
