pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,inter_hume_sent,inter_hume_received,inter_vt_sent,inter_vt_received,sent_to,sent_to_perc,sent_cc,sent_cc_perc,sent_bcc,sent_bcc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,rec_bcc,rec_bcc_perc,avg_recipients_sent,avg_recipients_rec,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_current_flow_closeness_centrality,pg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,pg_load_centrality,fg_load_centrality,pg_square_clustering,fg_square_clustering,pg_eccentricity,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths,pg_max_shortest_paths,fg_avg_shortest_paths,fg_max_shortest_paths,pg_num_cliques,fg_num_cliques,Status
adamq,0.003204084556572932,0.015608064166486017,0.3301111648139198,0.007275411218894981,0.645891422010825,0.0303135646249044,0.10120481927710843,1.0,0.04480960865835148,1.0,0.004000250668449198,0.0020678749543851112,0.012987012987012988,0.5294,0.00520920853638044,0.6078,0.00597460791635549,0.020491803278688523,0.3753449862005519,0.006261180679785331,0.2531622364802933,0.047058823529411764,0.06818181818181818,0.6862745098039216,0.21875,0.005089058524173028,0.8402011680726801,0.0008875739644970414,0.15979883192731995,0.0,0.0,0.04492281395224614,1.0,0.002885868553342022,0.0,0.0,0.0,0.026289080379709028,0.15362520408780314,0.16049831970325887,0.2289395349291603,0.02027819993758767,0.014329051831858584,0.001972935960819813,0.3829156894210591,0.03425732217573222,0.638095238095238,0.0007997091966557616,0.056138877222455544,0.0,0.0,0.012703342283702318,0.11680441540227399,0.04119128717130754,0.003139434180138568,0.009046624913013222,0.32,0.030769230769230754,0.0030226967404369653,0.6241,0.003915287417689981,0.1634106634106634,0.008255933952528379,0.039831606217616555,0.011078998073217727,0.08573256557901471,0.0969774127172122,0.6355944028310914,0.08043711787841128,0.30292188665125935,0.00012770748346957187,0.0,0.9002314432137544,0.8407253609661322,1.0,0.9834494773519162,0.15159853249475877,0.04594330400782002,0.028985507246376812,0.05970149253731343,0.27230104427354723,0.0016294935437427519,0.011372260441065502,0.03760113185664755,0.02097096938926697,0.0,0.00012773427311711528,0.691428075096203,0.7550659683916198,1.0,0.003144472723784245,0.00328424048172116,0.0,0.0,0.0003577392965934533,0.0003577392960404982,0.7291666666666667,1.0,0.924242424242425,0.0,0.0,0.0031847133757961785,GradStudent
ahmed12,0.0,0.0021677866897897246,0.7928951184146931,5.2720371151412904e-05,0.19402985074626866,0.006639783077243969,0.011566265060240964,0.5289335246293639,0.009701049297168878,0.9375807145931984,0.0,0.0,0.0,0.0,0.0,0.0,0.006223549912870301,0.02459016393442623,0.41582336706531736,0.008944543828264758,0.6071494042163152,0.7058823529411765,0.8409090909090909,0.8627450980392157,0.96875,0.0,0.015087605451005888,0.0005588428665351743,0.9849123945489942,0.0,0.0,0.007958976550397949,0.7333815028901736,0.003909886427108546,0.26661849710982655,0.0,0.0,0.5902804035901212,1.0,0.0,0.1623757347549795,0.0,0.004064923749961775,4.642202260752501e-05,0.08813726700407357,0.0011767782426778243,0.15933075933075933,0.00014540167211922936,0.0999580008399832,0.0020380434782608695,0.2085688783100268,0.0,0.008823129227967472,0.0021279844357528265,0.0,0.008629088378566458,0.0,0.7846153846153846,0.0004949444955101464,1.0,0.0,0.0,0.0018467220683287165,0.18992875647668397,0.018304431599229287,1.0,0.3763628663563493,0.8897213265172332,0.4455840560036217,0.622793679448422,0.0007997764806648531,0.0,0.715953050090924,0.5955731646919883,1.0,0.9545671927307509,0.17943548387096755,0.07496012759170657,0.04347826086956521,0.1343283582089552,0.4146065747516039,0.002771739834439466,0.016454681017025692,0.07358135050551767,0.030070154753997307,0.0,0.0007999442525874408,0.8864756344784246,0.8818520427515256,1.0,0.004909662451661189,0.0049592458273238675,0.003681901907161136,0.0036819018993858713,0.004279070948660496,0.004279070940441863,0.6875,1.0,0.8787878787878791,0.0,0.0,0.0031847133757961785,Research
ajm,0.008023236125402138,0.027314112291350532,0.2261962300628323,0.013918177983973008,0.47170739708053144,0.041854967670166165,0.08240963855421687,0.5514108082257292,0.04230185441826701,0.496771416272062,0.009180731951871657,0.0006892916514617038,0.005772005772005772,0.7059,0.001512350865400773,0.5294,0.08239980084640279,0.12704918032786885,0.12925482980680772,0.0836314847942755,0.20421631530705764,0.6,0.7272727272727273,0.5098039215686274,0.75,0.010264372277569328,0.6044776119402985,0.005161078238001315,0.3955223880597015,0.0,0.0,0.04348058330217403,0.501806358381503,0.03630608825172221,0.498193641618497,0.0,0.0,0.1220322792493383,0.20041119912922536,0.3287445590340704,0.07239258770168132,0.1115204816791066,0.0027797741437712515,0.0004642202260752501,0.03839032218244661,0.009806485355648535,0.04787644787644787,0.0013086150490730644,0.03919921601567968,0.014945652173913044,0.14698006545670933,0.06310924325849153,0.32954684212913377,0.13681230620313223,0.009382217090069284,0.03535142658315936,0.4,0.4307692307692308,0.0069645761153927736,0.6118,0.007652607225484962,0.13593813593813595,0.033295312584867745,0.545336787564767,0.04527938342967245,0.3979526551503519,0.158826345991065,0.49820743408184404,0.2683749480453856,0.5326001012309955,0.05316820495817455,0.002079750587922067,0.4622101324035528,0.4379214446264619,0.8652138398243421,0.6660074708855197,0.33402267156862747,0.28913192071086813,0.28985507246376807,0.417910447761194,0.8117195517224962,0.013812653433320068,0.2973767520007946,0.38336824458230684,0.4392574168495137,0.002080729512312459,0.05314977434442368,0.2637332534033137,0.4299536248863108,0.0,0.026893561296086388,0.03118264755518284,0.02159783824986305,0.0215978382222148,0.021721779196723794,0.021721779168319917,0.48958333333333326,0.0,0.5909090909090913,0.0,0.14754098360655737,0.08598726114649681,Director
apblair,0.002188155306927856,0.0028181226967266423,0.1085065248912518,0.0055356389708983555,0.7128095784812204,0.010428978655357019,0.010120481927710843,0.28263988522238165,0.014452583646802613,0.8835557468790357,0.002840909090909091,0.0001621862709321656,0.001443001443001443,0.75,0.0006721559401781214,1.0,0.040826487428429176,0.036885245901639344,0.07881018092609629,0.052772808586762074,0.4841429880843263,0.9058823529411765,0.9545454545454546,0.9803921568627451,0.96875,0.0037736662785181354,0.9172615184944839,0.0003287310979618672,0.0827384815055159,0.0,0.0,0.014582554350729127,0.9129335260115611,0.0025134984174269223,0.08706647398843931,0.0,0.0,0.03502557264821189,0.19821007437866603,0.1920964009446099,0.050284188093455855,0.0182787311257183,0.0016706353002221763,0.0034120186616530884,0.92581162819405,0.008106694560669456,0.45122265122265126,0.010178117048346057,1.0,0.01358695652173913,0.5629277000892593,0.0038931493109608936,0.019027816057467214,0.0078013292220469165,0.0016960161662817551,0.005845511482254697,0.24,0.29230769230769227,0.002050484338542035,0.5918,0.0008898380494749955,0.05189255189255189,0.005485850850035305,0.34763601036269437,0.00674373795761079,0.22520793346129236,0.01608456273930267,0.3939021886249603,0.035903744356036625,0.6575584024982546,0.0026574144950041617,0.0,0.706563068275748,0.5988418606423103,1.0,0.8628048780487803,0.1866206709956709,0.08488862131246233,0.05797101449275363,0.1343283582089552,0.5694047967046532,0.0050549317534436715,0.024210821996080368,0.08025149917144873,0.04397095972447134,0.0,0.0026579719501803496,0.5492391147379297,0.8570086233534169,1.0,0.010236490723269893,0.010912118894532684,0.0022890071819342043,0.002289007180021393,0.002495744228112666,0.0024957442257451017,0.6770833333333334,1.0,0.8636363636363636,1.0,0.0,0.028662420382165606,GradStudent
apoetter,0.24129622152467536,0.10210275308909603,0.004229096181730304,0.19796499367355547,0.11645071346563882,0.633769032886046,0.39518072289156625,0.07986609277857486,0.5311159506368376,0.2922944468359879,0.2327038770053476,0.1903255889388963,0.11832611832611832,0.0524,0.19374894975634346,0.2456,0.41150112023898433,0.26639344262295084,0.03986507206378412,0.4467799642218247,0.2749770852428965,0.6235294117647059,0.4772727272727273,0.7647058823529411,0.75,0.2481778582826584,0.3849772874756651,0.2312294543063774,0.6150227125243349,0.0,0.0,0.7282730623364136,0.6119942196531792,0.42794637870042823,0.3880057803468207,0.0,0.0,0.24099982089195804,0.07237104674366573,0.611490674216725,0.10527121762210197,0.08056214056503878,0.008695812132033557,0.03409697560522712,0.0977657079372917,0.3833682008368201,0.268983268983269,0.08055252635405308,0.08357832843343133,0.2764945652173913,0.16512942576614106,0.24541598319977434,0.6453478838793859,0.35778370805129056,0.3961099884526559,0.49853862212943634,0.59,0.35384615384615387,0.16488722336138018,0.5027,0.2681971881117637,0.16524216524216523,0.5115420129270545,0.5429080310880829,0.50626204238921,0.26807421625079975,0.3230659863829323,0.4298297335360045,0.8800449140887898,0.7134497171168536,0.8444609437688146,0.25882343395021945,0.09662609159698714,0.03241715144269007,0.16680014221849196,0.04892771261716657,0.7380663430420712,0.8775635139271502,0.7971014492753623,0.9253731343283582,0.9872956717300656,0.43267709809027427,0.8960748556325291,0.8778812977617462,0.9188438823504823,0.25873835884287844,0.8442817471189992,0.07722624030350105,0.06734679460763322,0.0,0.3432197211787106,0.34920064762407765,0.2369595565139579,0.23695955634188892,0.2366658540618925,0.23666585388686082,0.14583333333333337,0.0,0.07575757575757591,0.0,0.8852459016393442,0.7738853503184714,PM
arog3632,0.039868710681584325,0.06871883806633428,0.10041082648622522,0.058150569380008434,0.3728062981794325,0.15122019050267677,0.3233734939759036,0.6025824964131994,0.17310103609846236,0.6399052948773138,0.0434805314171123,0.013704739893767992,0.03511303511303511,0.216,0.022181146025878003,0.3905,0.034851879512073684,0.10245901639344263,0.2672493100275989,0.03935599284436494,0.32062328139321716,0.07058823529411765,0.11363636363636363,0.49019607843137253,0.3125,0.05522491051019968,0.7284231018818949,0.016995397764628533,0.27157689811810515,0.0,0.0,0.2105122589605256,0.897398843930636,0.03807484639731894,0.10260115606936415,0.0,0.0,0.07315568469024258,0.02190844772328718,0.19213718214749073,0.159725011451206,0.025776709785419818,0.031822880704436785,0.011466239584058678,0.19738303913097147,0.13192991631799164,0.4548262548262548,0.006470374409305707,0.04031919361612767,0.015172101449275362,0.01725676881880393,0.04226829166361936,0.1607805102692293,0.07503449812312923,0.03843100461893764,0.06457898399443285,0.34,0.0923076923076923,0.03326734073393198,0.6093,0.018864566648869905,0.0698005698005698,0.08337406984954647,0.28432642487046633,0.08670520231213873,0.16634676903390913,0.032682318059654956,0.44752772709417077,0.11043545105202042,0.4776994928586027,0.049665786352942186,0.0035053344035586476,0.3997118768155303,0.4077488666234902,0.7333578135655457,0.5877279718743134,0.23965419501133786,0.28913192071086813,0.17391304347826086,0.417910447761194,0.7415821949416579,0.10743919236724606,0.08932800875958932,0.3628086515386567,0.14982593706622094,0.003547971718680716,0.04978779819280408,0.41841120613845,0.2524528356797861,1.0,0.02469630667758609,0.026739135730527133,0.009556109783372749,0.009556109778309594,0.01119186475360692,0.011191864746372541,0.6041666666666666,1.0,0.5909090909090913,0.0,0.02459016393442623,0.14331210191082802,GradStudent
asohangh,0.00722872735324381,0.013440277476696292,0.12010633156114064,0.008909742724588781,0.276365425619157,0.025759577278731835,0.02216867469879518,0.19990435198469625,0.027849270771464398,0.5770555316401206,0.007551387032085561,0.0003243725418643312,0.002405002405002405,0.625,0.001008233910267182,0.75,0.05675877520537715,0.06147540983606557,0.0906163753449862,0.057245080500894455,0.19853345554537113,0.6352941176470588,0.8295454545454546,0.803921568627451,0.859375,0.008819597188079528,0.5463984425697599,0.0053583168967784355,0.45360155743024017,0.0,0.0,0.029806100101490304,0.6432442196531793,0.017035933718115806,0.35675578034682076,0.0,0.0,0.16491870484984777,0.05088589224163996,0.2924357278150454,0.08380791523731893,0.0694842971752081,0.002528990412880618,0.0029245874242740757,0.26675719047031227,0.009152719665271966,0.14517374517374518,0.0059614685568884045,0.1969760604787904,0.012681159420289856,0.21570961023504914,0.007284799348050943,0.026260060774579336,0.012284884876618194,0.0035002886836027714,0.01767571329157968,0.17,0.32307692307692304,0.00820193735416814,0.7959,0.0019576437088449903,0.038461538461538464,0.01922763565259899,0.5069624352331606,0.017341040462427744,0.22136916186820219,0.09019723994370171,0.49488222489999767,0.2417529785319635,0.6680621535713798,0.08809094287326612,0.002111365161400497,0.4882459910729046,0.28613661472818,0.7894210425081748,0.4850948509485095,0.20874724061810146,0.18053777208706778,0.11594202898550726,0.2835820895522388,0.7104188552894105,0.016763391048275154,0.0519095373796336,0.15363518969772955,0.09302281047292567,0.0021645139339840284,0.08937518748643976,0.4270679872521348,0.744563592861581,1.0,0.02026760209426745,0.028360803821577546,0.004060661936760986,0.004060661931456745,0.004650795927954672,0.004650795921815242,0.6458333333333333,1.0,0.7272727272727276,0.0,0.01639344262295082,0.06369426751592357,GradStudent
awais,0.001289448663011058,0.0039020160416215043,0.22982116964717256,0.0013707296499367355,0.19731015253403314,0.008482235973023708,0.012048192771084338,0.4261119081779053,0.011152907015112519,0.8120964270340076,0.001295120320855615,0.0,0.0,0.0,0.0,0.0,0.02414737366193677,0.00819672131147541,0.0390984360625575,0.02370304114490161,0.17506874427131078,0.8117647058823529,0.8636363636363636,1.0,0.859375,0.0016388493552421616,0.48896820246593126,0.0013149243918474688,0.5110317975340688,0.0,0.0,0.011057101650552854,0.8231575144508672,0.0034444237572146714,0.1768424855491329,0.0,0.0,0.1553065732651396,0.09372921327931305,0.1365137186260296,0.15161516040976566,0.004281184091904639,0.00737345524532112,0.0003945871921639626,0.1652882360202444,0.00823744769874477,0.5727155727155728,0.0007997091966557616,0.12123757524849502,0.012454710144927536,0.6257066349300805,0.0012694200369855713,0.008896393646230545,0.003082504530129321,0.002129041570438799,0.005080027835768963,0.46,0.3384615384615384,0.001626246199533338,0.7244,0.0001779676098949991,0.016076516076516077,0.00554016620498615,0.47409326424870474,0.00674373795761079,0.2866282789507358,0.14595296966089655,0.82795581970294,0.13613782525880244,0.9544897854848583,0.003200183674850894,0.0,1.0,0.5052382947921825,1.0,0.8628048780487803,0.17943548387096755,0.09494949494949491,0.028985507246376812,0.16417910447761191,0.5175315615358882,0.0032955606507280633,0.012397228878065531,0.08649517586786537,0.023317832268180953,0.0,0.0032008549886251092,0.2922602647954038,0.77428403222656,1.0,0.006908318899540475,0.0068331540698519265,0.012082902137714109,0.012082902107914583,0.011425941037887563,0.011425941007122836,0.6875,1.0,0.8484848484848491,0.0,0.0,0.03184713375796178,GradStudent
bdeird7,0.05992680099508967,0.14480815087795362,0.14971000483325278,0.10016870518768452,0.4594062653764147,0.15514843912952792,0.3185542168674699,0.5734098517455762,0.20134626806572956,0.8112354713732243,0.06788937165775401,0.001419129870656449,0.012506012506012507,0.7429,0.0036968576709796672,0.6286,0.05476723923325865,0.11885245901639344,0.1908923643054278,0.06350626118067978,0.3505041246562787,0.0,0.11363636363636363,0.5490196078431373,0.0,0.08927416224608617,0.832414016872161,0.015713346482577252,0.1675859831278391,0.0,0.0,0.22626996421131348,0.9745303468208096,0.0211320052131819,0.02546965317919075,0.0,0.0,0.06720531751875658,0.01395053516357259,0.41530548234516496,0.3007351888668105,0.49549825266608305,0.02649589026119019,0.08704129238910939,1.0,0.2604602510460251,1.0,0.020865139949109414,0.0867982640347193,0.042572463768115944,0.0958048199940494,0.0708446083604108,0.1839111337494287,0.10241309209774514,0.039477482678983836,0.06722338204592902,0.24,0.0923076923076923,0.04454500459591317,0.5444,0.041110517885744796,0.10154660154660154,0.0462766824181196,0.02493523316062176,0.04238921001926782,0.02943058221369162,0.06915816488542814,0.7568079743940492,0.11779450160605079,0.3648980242338569,0.07536404169042352,0.005308625419821538,0.2918388714388053,0.33973791336069475,0.6954125793421814,0.5309568480300187,0.26396122685185186,0.3152903076567198,0.23188405797101452,0.44776119402985076,0.7657845792234449,0.0868696703854044,0.11967837297501872,0.37862640813709136,0.19835547023531241,0.0053538139602054904,0.07538687150229768,0.5405022585017089,0.3503451335202109,1.0,0.03222997484114155,0.03432500206090253,0.006516213962808187,0.006516213959421185,0.006973784946059958,0.006973784942015675,0.5729166666666667,1.0,0.5606060606060609,0.0,0.05737704918032787,0.1942675159235669,GradStudent
ccallsen,0.2644541985229952,0.306741816605246,0.05751570807153215,0.24404259805989034,0.15794653108085946,0.5363276089828269,0.48481927710843375,0.17647058823529413,0.35478123143931894,0.09319845027981048,0.2604027406417112,0.40433037343388883,0.417027417027417,0.0869,0.39926062846580407,0.2383,0.7159571819765994,0.42213114754098363,0.033731984053971174,0.6994633273703041,0.16388634280476633,0.4588235294117647,0.48863636363636365,0.5294117647058824,0.625,0.26959071893733555,0.3760545100584035,0.25703484549638395,0.6239454899415964,0.0,0.0,0.5461246728273063,0.4589956647398844,0.4844535468255446,0.5410043352601155,0.0,0.0,0.16800334335011644,0.061196105702364396,0.4177313956404812,0.05437263428008501,0.07158697368762135,0.010624391556573803,0.04140844416591231,0.10825823972349093,0.1799163179916318,0.08545688545688546,0.08309705561613959,0.07867842643147137,0.18093297101449277,0.12020232073787564,0.26557651520692066,0.5392016969434783,0.3433910046564063,0.2485565819861432,0.41196938065414057,0.34,0.3384615384615384,0.2703280774941667,0.7522,0.30912973838761343,0.1737891737891738,0.6103959589375917,0.8848769430051814,0.628131021194605,0.4395393474088293,0.20491212575299533,0.3695314639033737,0.4121402654657263,0.31076561048624735,0.14960800281173273,0.04451624277803703,0.23902022372843978,0.22695060440757128,0.5077375019671616,0.3498565279770445,0.45606518817204295,0.49070537305831424,0.4927536231884058,0.6268656716417911,0.9806846221558171,0.1506972863596739,0.5217909492235269,0.5850405035909568,0.6585218514976416,0.04464889787202813,0.1496339563588802,0.32995579615468634,0.2613884609484834,0.0,0.24140951669143051,0.24010514795023846,0.329165855306831,0.3291658547501552,0.3292003215272309,0.32920032096018925,0.36458333333333337,0.0,0.37878787878787895,0.0,0.3770491803278688,0.29936305732484075,Director,
