@relation trai_norm_email_features_50_50_no_pid

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute sent_bcc numeric
@attribute sent_bcc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute rec_bcc numeric
@attribute rec_bcc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute pg_load_centrality numeric
@attribute fg_load_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths numeric
@attribute pg_max_shortest_paths numeric
@attribute fg_avg_shortest_paths numeric
@attribute fg_max_shortest_paths numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute Status {GradStudent,Research,Director,PM,Operations,Outreach}

@data
0.003376,0.015975,0.389736,0.006267,0.743898,0.029069,0.096415,1,0.038614,0.982273,0.004082,0.002244,0.013076,0.6774,0.00462,0.7097,0.005331,0.026882,0.449105,0.005988,0.561467,0.02381,0.068182,0.666667,0.253968,0.005222,0.840898,0.000952,0.159102,0,0,0.042636,0.99854,0.003343,0.00146,0,0,0.02333,0.154285,0.175202,0.244567,0.021616,0.01719,0.001921,0.35894,0.034938,0.674579,0.001178,0.079476,0.000805,0.021499,0.01325,0.112422,0.040638,0.003688,0.009258,0.37,0.061224,0.003175,0.6329,0.003862,0.158059,0.008033,0.05336,0.014542,0.168818,0.092865,0.579276,0.077583,0.346758,0.000119,0,1,0.777969,1,0.978532,0.132075,0.054309,0.030769,0.073529,0.24444,0.00099,0.009674,0.042811,0.018061,0,0.00012,0.554067,0.915988,1,0.003064,0.003116,0.000426,0.000426,0,0,0.766667,1,0.910448,0,0,0.003509,GradStudent
0,0.00028,0.629756,0.000198,0.519986,0.007004,0.011743,0.449291,0.00943,0.971102,0,0,0,0,0,0,0.008441,0.026882,0.283887,0.00998,0.619989,0.833333,0.897727,1,0.984127,0,0.214701,0.000416,0.785299,0,0,0.008736,0.778325,0.003511,0.221675,0,0,0.280824,1,0,0.16069,0,0.004269,0.000042,0.088039,0.002082,0.151608,0.000131,0.099554,0.002416,0.231551,0,0.009303,0.002242,0,0.009133,0,1,0.000444,1,0,0,0.001665,0.17893,0.024808,1,0.337391,0.850576,0.421852,0.684805,0.000818,0,0.709077,0.601384,1,0.926395,0.176471,0.044967,0.061538,0.088235,0.433022,0.002476,0.022787,0.040003,0.041398,0,0.00082,0.614861,0.965088,1,0.006047,0.005766,0.004615,0.004615,0.004414,0.004414,0.7,1,0.925373,1,0,0.003509,Research
0.007807,0.027747,0.282945,0.011808,0.568447,0.043449,0.084054,0.541135,0.042783,0.487373,0.008804,0.000796,0.004359,0.6364,0.00147,0.6364,0.089294,0.134409,0.108645,0.093812,0.435683,0.559524,0.727273,0.518519,0.746032,0.009631,0.588189,0.005414,0.411811,0,0,0.043111,0.459405,0.041291,0.540595,0,0,0.112911,0.182317,0.346173,0.072185,0.131842,0.002924,0.000459,0.039088,0.013188,0.091118,0.001309,0.040156,0.018526,0.179547,0.061238,0.342156,0.139761,0.009028,0.036782,0.41,0.55102,0.00673,0.611,0.00869,0.162016,0.035854,0.53907,0.049615,0.393247,0.171382,0.448261,0.283037,0.536916,0.040529,0.00044,0.540781,0.415656,0.963235,0.692557,0.313869,0.282691,0.246154,0.411765,0.783567,0.009087,0.234984,0.37259,0.362087,0.00044,0.040646,0.420246,0.413434,0,0.025807,0.032311,0.023536,0.023536,0.02281,0.02281,0.522222,0,0.597015,0,0.05618,0.098246,Director
0.001993,0.002522,0.141213,0.004684,0.975593,0.010413,0.012979,0.321631,0.0135,0.921564,0.002647,0.000145,0.001245,1,0.00042,1,0.041315,0.048387,0.085831,0.0499,0.636139,0.928571,0.943182,0.981481,0.968254,0.003365,0.920685,0.000297,0.079315,0,0,0.014623,0.926656,0.00234,0.073344,0,0,0.01844,0.20059,0.20152,0.051773,0.018684,0.001772,0.003091,0.921702,0.008329,0.419602,0.009293,1,0.011679,0.49477,0.003544,0.019055,0.007558,0.001017,0.005004,0.16,0.285714,0.002127,0.6768,0.000644,0.042066,0.005584,0.359076,0.007699,0.224429,0.024064,0.374172,0.045721,0.680046,0.001589,0,0.73748,0.568463,1,0.889186,0.132075,0.092913,0.046154,0.132353,0.514414,0.00303,0.013183,0.072002,0.024473,0,0.001593,1,0.947005,1,0.00952,0.010998,0.002042,0.002042,0.001908,0.001908,0.766667,1,0.850746,0,0,0.021053,GradStudent
0.243037,0.111827,0.003836,0.19876,0.149629,0.630966,0.397404,0.083333,0.546953,0.297232,0.231388,0.189563,0.129514,0.0794,0.195086,0.3547,0.409151,0.306452,0.04133,0.439787,0.464184,0.607143,0.477273,0.759259,0.746032,0.249362,0.405843,0.233625,0.594157,0,0,0.722913,0.623244,0.429121,0.376756,0,0,0.227202,0.069158,0.613063,0.109861,0.078091,0.008819,0.035458,0.100863,0.381768,0.282287,0.081937,0.084077,0.288764,0.175189,0.247194,0.642494,0.359952,0.396172,0.496559,0.6,0.469388,0.164418,0.4989,0.268426,0.167222,0.510972,0.505473,0.508982,0.289474,0.330193,0.392681,0.815278,0.684531,1,0.386432,0.072926,0.031446,0.338171,0.046395,0.782178,0.878637,0.830769,0.926471,0.986347,0.47524,0.891047,0.873775,0.924757,0.385525,1,0.226936,0.062856,0,0.36437,0.359589,0.239397,0.239397,0.238236,0.238236,0.122222,0,0.074627,0,0.719101,0.803509,PM
0.039854,0.07259,0.124728,0.052114,0.454899,0.147391,0.309023,0.601418,0.161703,0.646673,0.043019,0.012739,0.033001,0.3011,0.01722,0.4659,0.034651,0.112903,0.261893,0.037924,0.494965,0.071429,0.113636,0.537037,0.31746,0.055079,0.740694,0.016836,0.259306,0,0,0.203589,0.902937,0.039117,0.097063,0,0,0.073183,0.03321,0.193438,0.163595,0.02597,0.035987,0.011485,0.197781,0.12795,0.46146,0.006937,0.043084,0.012485,0.015107,0.042261,0.156711,0.074277,0.039611,0.061679,0.36,0.102041,0.033176,0.6097,0.020277,0.076635,0.080721,0.261326,0.094098,0.226912,0.029662,0.409189,0.074643,0.474037,0.034214,0.007463,0.461659,0.413043,0.805556,0.625484,0.232877,0.245778,0.153846,0.367647,0.702585,0.129021,0.070578,0.299113,0.121759,0.007615,0.034507,0.406556,0.352109,1,0.024068,0.028637,0.010201,0.010201,0.010853,0.010853,0.622222,1,0.641791,0,0.011236,0.066667,GradStudent
0.007197,0.014013,0.150544,0.00851,0.368412,0.02473,0.024104,0.220922,0.02571,0.573822,0.00749,0.000362,0.001868,0.6,0.00084,0.8,0.054198,0.05914,0.076829,0.051231,0.304769,0.654762,0.829545,0.851852,0.857143,0.009012,0.603738,0.004819,0.396262,0,0,0.028297,0.641124,0.016884,0.358876,0,0,0.121426,0.120622,0.287791,0.081207,0.060236,0.002367,0.002673,0.245869,0.01018,0.17075,0.00589,0.195482,0.01329,0.239396,0.007262,0.025206,0.012002,0.002925,0.017766,0.14,0.44898,0.008191,0.8037,0.001287,0.026031,0.018515,0.485102,0.02053,0.277061,0.068229,0.470745,0.120966,0.664344,0.124891,0.001295,0.563185,0.308889,0.857143,0.450687,0.176471,0.210448,0.107692,0.294118,0.669942,0.011021,0.04371,0.171607,0.079514,0.001296,0.128252,0.40606,0.794422,1,0.01934,0.031624,0.004356,0.004356,0.004233,0.004233,0.7,1,0.686567,0,0.011236,0.059649,GradStudent
0.001242,0.003083,0.257232,0.001583,0.374779,0.007748,0.012979,0.449291,0.009629,0.849199,0.00128,0,0,0,0,0,0.023545,0.010753,0.033862,0.023287,0.366711,0.809524,0.875,1,0.857143,0.001508,0.507774,0.001249,0.492226,0,0,0.010255,0.848568,0.002842,0.151432,0,0,0.090961,0.110844,0.153616,0.162226,0.006022,0.006177,0.000459,0.202466,0.008792,0.60439,0.000916,0.145706,0.012082,0.658338,0.001229,0.008124,0.002819,0.002098,0.005129,0.49,0.469388,0.001524,0.7164,0.000322,0.031029,0.004212,0.397385,0.005988,0.222939,0.183524,0.828108,0.170767,1,0.001809,0,0.969875,0.608658,1,0.890554,0.192053,0.083071,0.046154,0.147059,0.479853,0.002422,0.017584,0.088033,0.032901,0,0.001814,0.290007,0.753269,1,0.006843,0.006731,0.011895,0.011895,0.010629,0.010629,0.677778,1,0.865672,1,0,0.024561,GradStudent
0.059335,0.144339,0.176257,0.08866,0.572515,0.152783,0.307169,0.571277,0.182648,0.793832,0.066976,0.001737,0.013076,0.875,0.00357,0.7083,0.051533,0.11828,0.178107,0.059215,0.561467,0,0.113636,0.574074,0,0.088033,0.838385,0.015587,0.161615,0,0,0.220587,0.976464,0.023738,0.023536,0,0,0.066135,0.015891,0.417872,0.315877,0.435223,0.026732,0.086201,1,0.254512,1,0.022513,0.094255,0.041885,0.098489,0.070148,0.181125,0.101567,0.038339,0.067809,0.24,0.142857,0.044605,0.5521,0.039588,0.100583,0.044377,0.016722,0.041916,0.097319,0.073526,0.726603,0.105384,0.389291,0.059501,0.005045,0.335524,0.341957,0.794872,0.593331,0.258741,0.308232,0.215385,0.441176,0.731925,0.088134,0.104565,0.377787,0.176258,0.005434,0.059749,0.387703,0.367341,1,0.030963,0.035827,0.00783,0.00783,0.007525,0.007525,0.588889,1,0.567164,0,0.067416,0.196491,GradStudent
0.264933,0.309417,0.065111,0.245135,0.217191,0.535577,0.504326,0.193972,0.394183,0.099806,0.259704,0.400116,0.42279,0.1228,0.403612,0.3477,0.714349,0.467742,0.032941,0.705921,0.353981,0.464286,0.5,0.555556,0.619048,0.268624,0.394377,0.259563,0.605623,0,0,0.550185,0.482941,0.475928,0.517059,0,0,0.137133,0.056796,0.416865,0.057781,0.06861,0.015886,0.041012,0.107028,0.178158,0.096733,0.084293,0.079336,0.17801,0.119698,0.266066,0.538445,0.344915,0.24326,0.413487,0.34,0.44898,0.270421,0.7528,0.315095,0.180133,0.620788,0.840377,0.639008,0.427507,0.209415,0.327936,0.393945,0.336881,0.134054,0.036011,0.252739,0.197413,0.653763,0.352498,0.463415,0.463797,0.492308,0.602941,0.978083,0.126031,0.53616,0.530618,0.66766,0.035958,0.134532,0.433323,0.321324,0,0.246866,0.246618,0.332441,0.332441,0.33153,0.33153,0.366667,0,0.402985,0,0.337079,0.287719,Director
